team,team_code,odds_american,finish,finish_rank,market_note
Brazil,BRA,+350,Quarter-finals,5,Favorite tax; elite team but not enough value as a single outright.
Argentina,ARG,+500,Champion,1,Prime contender zone: elite ranking plus second favorite price.
England,ENG,+700,Quarter-finals,5,Contender with fair market respect but no final conversion.
France,FRA,+700,Runners-up,2,Defending champion still priced as contender despite injuries.
Spain,ESP,+800,Round of 16,9,Possession profile did not protect against knockout variance.
Germany,GER,+1000,Group stage,17,Historical brand strength priced above actual tournament delivery.
Netherlands,NED,+1400,Quarter-finals,5,Strong ranking/price blend for deep-run markets.
Portugal,POR,+1400,Quarter-finals,5,Deep squad; quarter-final exit still within market range.
Belgium,BEL,+1600,Group stage,17,High FIFA rank but aging-core risk showed up.
Denmark,DEN,+2800,Group stage,17,Market sleeper that failed to clear the group.
Croatia,CRO,+5000,Third place,3,Longshot with elite knockout resilience.
Uruguay,URU,+5000,Group stage,17,Name value and talent did not convert to group survival.
Serbia,SRB,+6600,Group stage,17,High-upside outsider; defensive volatility was costly.
Senegal,SEN,+8000,Round of 16,9,Competitive underdog without enough elite attack depth.
Switzerland,SUI,+8000,Round of 16,9,Useful group-stage profile, capped ceiling.
Mexico,MEX,+10000,Group stage,17,Consistent qualifier but limited attacking ceiling.
USA,USA,+10000,Round of 16,9,Young squad overperformed long odds into knockout qualification.
Poland,POL,+10000,Round of 16,9,Advanced from group but profile was fragile.
Wales,WAL,+10000,Group stage,17,Sentimental pricing did not match squad ceiling.
Canada,CAN,+15000,Group stage,17,Exciting attacking story but tournament inexperience showed.
Ecuador,ECU,+15000,Group stage,17,Close to qualification; price reflected real outsider status.
Ghana,GHA,+15000,Group stage,17,Volatile outsider; group-stage exit.
Morocco,MAR,+20000,Fourth place,4,Best longshot run; profile fit deep-run rather than outright.
Cameroon,CMR,+25000,Group stage,17,Produced a Brazil upset but did not advance.
Japan,JPN,+25000,Round of 16,9,High-variance giant-killer; beat Germany and Spain.
Qatar,QAT,+25000,Group stage,17,Host qualification did not equal competitive strength.
South Korea,KOR,+30000,Round of 16,9,Late group escape; longshot knockout value.
Tunisia,TUN,+30000,Group stage,17,Beat France reserves but exited group.
Australia,AUS,+40000,Round of 16,9,Classic longshot qualification hit.
Costa Rica,CRC,+50000,Group stage,17,Outsider with low shot volume risk.
Iran,IRN,+50000,Group stage,17,Competitive in group but did not advance.
Saudi Arabia,KSA,+50000,Group stage,17,Historic upset over Argentina, no advancement.
